South Asia (IDA & IBRD),TSA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Trinidad and Tobago,TTO,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,7544638210.27284
Tunisia,TUN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,18737863791.4891
Turkiye,TUR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,313437000000
Tuvalu,TUV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Tanzania,TZA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,14195644234.1071
Uganda,UGA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,11674103402.5252
Ukraine,UKR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,72320000000
Upper middle income,UMC,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Uruguay,URY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,12999125186.1808
United States,USA,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,3295181000000
Uzbekistan,UZB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,33159965244.1938
St. Vincent and the Grenadines,VCT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,445712623.703703
"Venezuela, RB",VEN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
British Virgin Islands,VGB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Virgin Islands (U.S.),VIR,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Viet Nam,VNM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,363111000000
Vanuatu,VUT,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
World,WLD,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
Samoa,WSM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,447718801.548471
Kosovo,XKX,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,6365206214.81083
"Yemen, Rep.",YEM,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,
South Africa,ZAF,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,99818898159.0428
Zambia,ZMB,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,10065613553.5977
Zimbabwe,ZWE,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,9056565525.4672
